[2022-08-21T08:58:04.667982+00:00] local.INFO: 5XUdSEXZQa | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.24935293197632 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T08:58:05.309307+00:00] local.INFO: jEfi4MGYwZ | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/apple-touch-icon-precomposed.png [] | 0.27011704444885 s | Safari/17613.2.7.1.8\sCFNetwork/1333.0.4\sDarwin/21.5.0 | {referer} ["RESPONSE"] []
[2022-08-21T08:58:05.326876+00:00] local.INFO: avYGk8VGne | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/apple-touch-icon.png [] | 0.0075819492340088 s | Safari/17613.2.7.1.8\sCFNetwork/1333.0.4\sDarwin/21.5.0 | {referer} ["RESPONSE"] []
[2022-08-21T08:58:09.323490+00:00] local.INFO: 636wrRCHoH | HTTP/1.1 500 | 127.0.0.1 | null | GET http://localhost:8000 [] | 0.023183107376099 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T08:58:09.724909+00:00] local.INFO: lss18ayjxx | HTTP/1.0 404 | 127.0.0.1 | null | GET http://localhost:8000/admin/dnas [] | 0.014564990997314 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T08:58:11.587933+00:00] local.INFO: uo82C7eKcs | HTTP/1.1 302 | 127.0.0.1 | null | GET http://localhost:8000/admin [] | 0.018279075622559 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T08:58:11.641874+00:00] local.INFO: ODYJfAjia7 | HTTP/1.1 200 | 127.0.0.1 | null | GET http://localhost:8000/admin/login [] | 0.03879189491272 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | {referer} ["RESPONSE"] []
[2022-08-21T09:14:45.081412+00:00] local.INFO: 4haHGA4dor | HTTP/1.1 302 | 127.0.0.1 | null | POST http://localhost:8000/admin/login [] | 0.48228096961975 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/login ["RESPONSE"] []
[2022-08-21T09:14:45.267183+00:00] local.INFO: pqVkG5ctW5 | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin [] | 0.15394806861877 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/login ["RESPONSE"] []
[2022-08-21T09:14:48.384073+00:00] local.INFO: itsgBKeQ2D | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms [] | 0.15885519981384 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin ["RESPONSE"] []
[2022-08-21T09:14:50.188320+00:00] local.INFO: SK6PmFDLCa | HTTP/1.1 200 | 127.0.0.1 | administrator@brackets.sk | GET http://localhost:8000/admin/platforms/create [] | 0.066344976425171 s | Mozilla/5.0\s(Macintosh;\sIntel\sMac\sOS\sX\s10_15_7)\sAppleWebKit/605.1.15\s(KHTML,\slike\sGecko)\sVersion/15.5\sSafari/605.1.15 | http://localhost:8000/admin/platforms ["RESPONSE"] []
